  feature     subgroup  precision   recall    fbeta
education Some-college   0.610000 0.213287 0.316062
education      HS-grad   0.528455 0.204403 0.294785
education         11th   0.444444 0.266667 0.333333
education    Bachelors   0.837662 0.289888 0.430718
education      Masters   0.850000 0.275676 0.416327
education    Assoc-voc   0.647059 0.171875 0.271605
education      7th-8th   0.400000 0.250000 0.307692
education         12th   0.000000 0.000000 0.000000
education      5th-6th   0.666667 0.666667 0.666667
education   Assoc-acdm   0.777778 0.313433 0.446809
education         10th   0.166667 0.100000 0.125000
education  Prof-school   0.969697 0.410256 0.576577
education    Preschool   0.000000 1.000000 0.000000
education          9th   1.000000 0.200000 0.333333
education    Doctorate   0.937500 0.272727 0.422535
education      1st-4th   1.000000 0.000000 0.000000
